Follower,Durchschnittliche Antwortzeit,Durchschnittliche Antwortzeit in Minuten
18,9774,162.9
58,5992,99.86666667
98,5128,85.46666667
138,4892,81.53333333
178,5079,84.65
218,4340,72.33333333
258,4626,77.1
298,4575,76.25
338,4603,76.71666667
378,5102,85.03333333
418,4647,77.45
458,4620,77
498,4416,73.6
538,5023,83.71666667
578,4818,80.3
618,4567,76.11666667
,,
698,4505,75.08333333
738,4971,82.85
758,4524,75.4
838,4448,74.13333333
918,4631,77.18333333
998,4487,74.78333333
,,
,,
,,
1148,5451,90.85
1248,6123,102.05
1348,7581,126.35
1448,9175,152.9166667
,,
1648,6546,109.1
1748,6784,113.0666667
,,
,,
2048,10455,174.25
2148,9413,156.8833333
2248,7019,116.9833333
2348,10285,171.4166667
2448,6847,114.1166667
2548,7448,124.1333333
2648,9755,162.5833333
2748,8506,141.7666667
2848,11264,187.7333333
,,
,,
1858,5962,
1898,4322,
1938,5479,
1978,7361,
2018,8319,
2058,13474,
2098,6166,
2138,9569,
2178,12142,
2218,7571,
2258,6032,
2298,8141,
2338,10471,
2378,11046,
2418,6873,
2458,8820,
2498,5519,
2538,6705,
2578,7820,
2618,9072,
2658,8092,
2698,12572,
2738,8784,
2778,7133,
2818,5707,
2858,5784,
2898,20995,
2938,11072,
2978,8031,
3018,8158,
3058,5180,
3098,8296,
3138,5210,
3178,4329,
3218,6599,
3258,6961,
3299,3554,
3339,3671,
3380,7266,
3420,5705,
3460,9861,
3500,4673,
3540,8709,
3580,4384,
3620,6547,
3660,6727,
3700,13451,
3742,12078,
3782,12524,
3823,8125,
3863,7359,
3903,6734,
3944,5956,
3985,13470,
4028,4265,
4070,8680,
4113,4221,
4153,13157,
4193,6788,
4234,14239,
4276,8337,
4317,10402,
4358,8123,
4399,2478,
4442,4106,
4483,8921,
4523,4526,
4564,6412,
4605,3508,
4654,7072,
4697,12441,
4741,40341,
4786,8141,
4828,12623,
4868,5052,
4911,4768,
4953,3797,
4994,12951,
5035,5943,
5075,9347,
5115,13517,
5157,7985,
5197,9494,
5239,6304,
5282,7173,
5323,4633,
5364,3447,
5406,12905,
5452,3169,
5496,2974,
5543,6368,
5592,3080,
5635,9908,
5677,7686,
5719,3758,
5769,12521,
5819,5766,
5864,2801,
5914,7727,
5965,3833,
6022,6227,
6067,9809,
6113,7477,
6169,3701,
6212,13629,
6256,5382,
6298,9427,
6342,11907,
6390,30943,
6436,12927,
6481,22020,
6528,5737,
6574,13691,
6617,9876,
6665,14494,
6710,13593,
6766,5174,
6825,17922,
6879,8228,
6929,10395,
6990,5137,
7041,17280,
7094,12893,
7144,29828,
7208,10610,
7263,3331,
7321,8395,
7386,8777,
7438,8932,
7486,8464,
7541,15108,
7598,26682,
7642,9573,
7688,7338,
7741,19254,
7796,7436,
7845,4554,
7890,7850,
7937,12128,
7994,6267,
8050,18825,
8103,9720,
8163,23127,
8232,7484,
8311,12237,
8387,12840,
8472,3632,
8559,9700,
8635,5512,
8681,5665,
8729,5283,
8790,4806,
8861,6702,
8928,6145,
8992,9277,
9067,16377,
9126,11114,
9176,6331,
9224,6899,
9274,13129,
9327,5548,
9412,4621,
9504,4988,
9599,6979,
9691,17577,
9752,5014,
9805,7251,
9856,3614,
9923,4605,
10003,21699,
10105,4701,
10206,11360,
10304,4210,
10363,12623,
10446,3922,
10547,6656,
10632,25741,
10732,4092,
10817,7588,
10904,2621,
10978,3204,
11052,2919,
11182,5891,
11295,3400,
11394,6589,
11486,9411,
11598,5937,
11706,6917,
11804,5354,
11878,9177,
11983,21084,
12104,14821,
12211,7585,
12291,6741,
12371,21431,
12485,21980,
12586,21797,
12683,31592,
12795,1964,
12878,12549,
12956,6695,
13056,14379,
13188,18568,
13308,2058,
13433,6224,
13545,2874,
13626,2000,
13711,6039,
13835,3287,
13994,8431,
14195,6342,
14426,3292,
14613,3552,
14728,2467,
14920,15102,
15054,29969,
15176,46219,
15286,19398,
15420,22330,
15658,2654,
15788,13670,
15903,5006,
16017,6240,
16167,6140,
16306,3043,
16567,17837,
16775,8055,
17016,8996,
17224,3007,
17460,34224,
17668,5638,
17862,11737,
18083,7162,
18325,7856,
18586,4681,
18821,6258,
19098,11085,
19457,27800,
19674,22309,
19803,4638,
20028,5067,
20195,2852,
20311,4074,
20475,5596,
20632,6158,
20891,4700,
21287,6035,
21762,19033,
22072,8897,
22493,4208,
22821,21685,
22882,30589,
22933,9468,
22985,7479,
23053,8231,
23120,6021,
23185,7251,
23427,28085,
23634,9669,
23981,17344,
24195,7894,
24278,2415,
24348,4569,
24412,2799,
24488,20558,
24581,4193,
24665,5105,
24883,3681,
25180,8796,
25451,19573,
25696,11042,
25974,4271,
26172,3992,
26383,4339,
26756,20791,
27218,6108,
27647,22279,
28155,5751,
28552,1833,
28902,11301,
29232,15994,
29650,7925,
30108,9422,
30433,6054,
30719,6659,
30953,4188,
31102,27300,
31250,15028,
31446,4813,
31664,4348,
31979,3424,
32400,4136,
32509,2874,
32588,9986,
32725,3515,
33305,6118,
33793,16378,
34147,9772,
34852,48727,
35366,6803,
36104,7256,
37348,3707,
38049,5853,
38828,5727,
39560,4360,
40739,5469,
42043,10305,
42767,9373,
43888,7319,
45105,9092,
46000,9625,
46742,7167,
47623,19461,
48818,13038,
49650,9243,
52784,36408,
54303,6237,
54739,4801,
55502,10423,
56636,6865,
57844,7218,
58518,2032,
59204,6167,
60539,7665,
62141,9294,
64486,25721,
68238,23913,
71332,10143,
73903,5412,
77798,3294,
79202,9626,
80569,6914,
81829,6597,
83014,1952,
83882,5108,
86144,17509,
89732,13656,
95602,14636,
101242,23388,
104929,13889,
107388,11301,
110201,43733,
112029,13509,
113647,5987,
114878,9872,
117423,17802,
122284,8929,
137415,14160,
140683,13087,
141725,2634,
143974,7609,
155973,5944,
168466,7617,
181389,16903,
195260,8904,
226795,8820,
242102,6433,
248922,10146,
334701,17213,
488209,8999,