Stunde,Antwortzeit in Sekunden,Antwortzeit in Minuten
Mon00 ,7635,
,6135,102
,7283,121
,4347,72
,5098,85
,6922,115
,6917,115
,7066,118
,9252,154
,7927,132
,7001,117
,7170,120
Mon12 ,5859,98
,6311,105
,4591,77
,6153,103
,5924,99
,7392,123
,5391,90
,5250,88
,4550,76
,5803,97
,6141,102
,7123,119
Tue00 ,6164,103
,5455,91
,7062,118
,5699,95
,5690,95
,9073,151
,6457,108
,7231,121
,6023,100
,7141,119
,5345,89
,5567,93
Tue12 ,6100,102
,6147,102
,5951,99
,5013,84
,5922,99
,5956,99
,4928,82
,4985,83
,5223,87
,3870,65
,6161,103
,6101,102
Wed00 ,10246,171
,5383,90
,8204,137
,9687,161
,9100,152
,8622,144
,8394,140
,9673,161
,7700,128
,6957,116
,7582,126
,7576,126
Wed12 ,7581,126
,8976,150
,5336,89
,6532,109
,6908,115
,6454,108
,6319,105
,7100,118
,5908,98
,6411,107
,6670,111
,7248,121
Thu00 ,8743,146
,6906,115
,5571,93
,9053,151
,7840,131
,6309,105
,7670,128
,6616,110
,8678,145
,7858,131
,7140,119
,8241,137
Thu12 ,6916,115
,6682,111
,6601,110
,7019,117
,6009,100
,7778,130
,6758,113
,5424,90
,4693,78
,5261,88
,6328,105
,6855,114
Fri00 ,8762,146
,6064,101
,7012,117
,7723,129
,14616,244
,5938,99
,8413,140
,8361,139
,6697,112
,8288,138
,6425,107
,7912,132
Fri12 ,6094,102
,6355,106
,5882,98
,6512,109
,7291,122
,6136,102
,6284,105
,6953,116
,5792,97
,6106,102
,5959,99
,6358,106
Sat00 ,6209,103
,6166,103
,5513,92
,9564,159
,17670,295
,10682,178
,12339,206
,7120,119
,8226,137
,6336,106
,5244,87
,5941,99
Sat12 ,6144,102
,7914,132
,4867,81
,8584,143
,5396,90
,4189,70
,6484,108
,6189,103
,5528,92
,4492,75
,5482,91
,7192,120
Sun00 ,7464,124
,5072,85
,7417,124
,6890,115
,6552,109
,15452,258
,10148,169
,4839,81
,7612,127
,5600,93
,4387,73
,5402,90
Sun12 ,4449,74
,5293,88
,4672,78
,4688,78
,4627,77
,4169,69
,4488,75
,4478,75
,4719,79
,4636,77
,5555,93
Sun23 ,5111,85